webserviceRequest	web service	traitement
affiliations-tools-/v1/addresses/parse	addressSplit	Prétraitement
aiabstract-check-/v1/AiAbstract-check	aiAbstractCheck	Validation
data-workflow-/v1/aiabstract-check	aiAbstractCheck	Validation
astro-ner-/v1/tagger	astroTag	Indexation
data-workflow-/v1/astro-tag	astroTag	Indexation
data-workflow-/v1/astro-tag-pdf	astroTag	Indexation
ark-tools-/v1/67375/stamp	attribution d’identifiants ARK	Autres
authors-tools-/v1/orcid-disambiguation/orcidDisambiguation	authorDistinct	Homogénéisation
biblio-ref-/v1/compare-ref	bibCheck	Validation
biblio-ref-/v1/is-retracted	bibCheck	Validation
biblio-ref-/v1/validate	bibCheck	Validation
biblio-ref-/v1/validate-pdf	bibCheck	Validation
biblio-ref-/v1/validate-url	bibCheck	Validation
data-workflow-/v1/bibcheck	bibCheck	Validation
data-workflow-/v1/bibcheck-pdf	bibCheck	Validation
chem-ner-/v1/chem/tagger	chemTag	Indexation
data-workflow-/v1/chem-tag	chemTag	Indexation
data-workflow-/v1/chem-tag-pdf	chemTag	Indexation
address-kit-/v1/cnrsunit/cnrsunit	cnrsDetect	Homogénéisation
coara-tools-/v1/methods	coara	Autres
coara-tools-/v1/tools	coara	Autres
authors-tools-/v1/corporate/private-public	corporateDetect	Classification
data-corpussummarize-/v1/abstract	corpusSummarize	Indexation
address-kit-/v1/affiliationcountry/affilcountry	countryDetect	Indexation
data-homogenise-/v1/group	dataHomogenise	Homogénéisation
data-homogenise-/v1/homogenise	dataHomogenise	Homogénéisation
data-table-/v1/table-extraction	datatableExtract	Prétraitement
data-workflow-/v1/diseases-tag	diseaseTag	Indexation
data-workflow-/v1/diseases-tag-pdf	diseaseTag	Indexation
diseases-ner-/v1/diseases/tagger	diseaseTag	Indexation
biblio-tools-/v1/istex/works/expand	doiEnrich_Autres	Homogénéisation
biblio-tools-/v2/bso/works/expand	doiEnrich_Autres	Homogénéisation
biblio-tools-/v2/datacite/works/expand	doiEnrich_Autres	Homogénéisation
biblio-tools-/v2/istex/works/expand	doiEnrich_Autres	Homogénéisation
biblio-tools-/v2/wos/works/expand	doiEnrich_Autres	Homogénéisation
biblio-tools-/v1/conditor/works/expand	doiEnrich_Conditor	Homogénéisation
biblio-tools-/v2/conditor/works/expand	doiEnrich_Conditor	Homogénéisation
biblio-tools-/v1/crossref/works/expand	doiEnrich_Crossref	Homogénéisation
biblio-tools-/v2/crossref/works/expand	doiEnrich_Crossref	Homogénéisation
biblio-tools-/v1/hal/works/expand	doiEnrich_hal	Homogénéisation
biblio-tools-/v2/hal/works/expand	doiEnrich_hal	Homogénéisation
biblio-tools-/v2/hal/works/expandByHalId	doiEnrich_hal	Homogénéisation
biblio-tools-/v1/inspirehep/works/expand	doiEnrich_inspirehep	Homogénéisation
biblio-tools-/v2/inspirehep/works/expand	doiEnrich_inspirehep	Homogénéisation
biblio-tools-/v1/openalex/works/expand	doiEnrich_OpenAlex	Homogénéisation
biblio-tools-/v2/openalex/works/expand	doiEnrich_OpenAlex	Homogénéisation
biblio-tools-/v1/unpaywall/corhal	doiEnrich_Unpaywall	Homogénéisation
biblio-tools-/v1/unpaywall/expand	doiEnrich_Unpaywall	Homogénéisation
biblio-tools-/v1/unpaywall/is_oa	doiEnrich_Unpaywall	Homogénéisation
biblio-tools-/v2/unpaywall/corhal	doiEnrich_Unpaywall	Homogénéisation
biblio-tools-/v2/unpaywall/works/expand	doiEnrich_Unpaywall	Homogénéisation
nlp-tools2-/v1/lemma	engLemma	Prétraitement
data-workflow-/v1/entity-tag	entityTag	Indexation
data-workflow-/v1/entity-tag-pdf	entityTag	Indexation
person-ner-/v1/tagger	entityTag	Indexation
person-ner-/v1/tagger-en	entityTag	Indexation
funder-ner-/v1/tagger	funderTag	Indexation
authors-tools-/v1/first-name/gender	genderDetect	Classification
data-geonames-/v1/align	GeonamesEnrich	Indexation
ner-tagger-/v1/geoTagger/geoTagger	geoTag	Indexation
data-workflow-/v1/grobid	grobid	Prétraitement
pdf-text-/v1/grobid	grobid	Prétraitement
hal-classifier-/v1/en/classhalen	halClass	Classification
hal-classifier-/v1/fr/classhalfr	halClass	Classification
data-workflow-/v1/hiddentext-detect	hiddentextDetect	Validation
hiddentext-detect-/v1/hiddentext	hiddentextDetect	Validation
affiliations-tools-/v1/ror/get-id	idRorDetect	Homogénéisation
data-kwsimilarity-/v1/kw	IstexQueryExpand	Prétraitement
nlp-tools2-/v1/detect-lang	langDetect	Prétraitement
data-computer-/v1/lda	ldaClass	Classification
data-computer-/v1/lda-segment	ldaClass	Classification
loterre-annotate-/v1/en/loterre-annotate/annotate	LoterreEnrich_annotate	Indexation
loterre-annotate-/v1/fr/loterre-annotate/annotate	LoterreEnrich_annotate	Indexation
loterre-resolvers-/v1/annotate	LoterreEnrich_annotate	Indexation
loterre-resolvers-/v1/P66/annotate	LoterreEnrich_annotate	Indexation
loterre-resolvers-/v1/QX8/annotate	LoterreEnrich_annotate	Indexation
terms-tools-/v1/en/terms-matcher/json-indoc/annotate	LoterreEnrich_annotate	Indexation
terms-tools-/v1/en/terms-matcher/json-standoff/annotate	LoterreEnrich_annotate	Indexation
terms-tools-/v1/fr/terms-matcher/json-standoff/annotate	LoterreEnrich_annotate	Indexation
loterre-resolvers-/v1/2XK/expand	LoterreEnrich_expand	Indexation
loterre-resolvers-/v1/9SD/expand	LoterreEnrich_expand	Indexation
loterre-resolvers-/v1/D63/expand	LoterreEnrich_expand	Indexation
loterre-resolvers-/v1/expand	LoterreEnrich_expand	Indexation
loterre-resolvers-/v1/JVR/expand	LoterreEnrich_expand	Indexation
loterre-resolvers-/v1/P66/expand	LoterreEnrich_expand	Indexation
loterre-resolvers-/v1/216/identify	LoterreEnrich_identify	Indexation
loterre-resolvers-/v1/2XK/identify	LoterreEnrich_identify	Indexation
loterre-resolvers-/v1/3JP/identify	LoterreEnrich_identify	Indexation
loterre-resolvers-/v1/73G/identify	LoterreEnrich_identify	Indexation
loterre-resolvers-/v1/9SD/identify	LoterreEnrich_identify	Indexation
loterre-resolvers-/v1/BVM/identify	LoterreEnrich_identify	Indexation
loterre-resolvers-/v1/D63/identify	LoterreEnrich_identify	Indexation
loterre-resolvers-/v1/identify	LoterreEnrich_identify	Indexation
loterre-resolvers-/v1/JVR/identify	LoterreEnrich_identify	Indexation
loterre-resolvers-/v1/MDL/identify	LoterreEnrich_identify	Indexation
loterre-resolvers-/v1/N9J/identify	LoterreEnrich_identify	Indexation
loterre-resolvers-/v1/P21/identify	LoterreEnrich_identify	Indexation
loterre-resolvers-/v1/P66/identify	LoterreEnrich_identify	Indexation
affiliations-tools-/v1/addresses/normalize	normalisation d'adresses (minuscules sans accent sans ponctuation)	Prétraitement
openalex-doctype-/v1/isresearch-id	oalDocType	Classification
openalex-classification-/v1/classif	openAlexClass	Classification
domains-classifier-/v1/en/classify	pascalFrancisClass	Classification
terms-extraction-/v1/quantity/extract	quantityTag	Indexation
data-rapido-/v1/rapido-algorithme	rapido	Autres
data-rapido-/v1/rapido-apprentissage	rapido	Autres
data-rapido-/v1/rapido-italie	rapido	Autres
data-graph-/v1/graph	Représentation graphique	Représentation graphique
affiliation-rnsr-/v2/affiliation/rnsr	rnsrLearnDetect	Homogénéisation
affiliation-rnsr-/v3/affiliation/rnsr	rnsrLearnDetect	Homogénéisation
affiliations-tools-/v1/rnsr/conditor	rnsrRulesDetect	Homogénéisation
affiliations-tools-/v1/rnsr/csv	rnsrRulesDetect	Homogénéisation
affiliations-tools-/v1/rnsr/info	rnsrRulesDetect	Homogénéisation
affiliations-tools-/v1/rnsr/json	rnsrRulesDetect	Homogénéisation
sciencemetrix-classification-/v1/classif	sciencemetrixClass	Classification
software-extract-/v1/tagger	softwareTag	Indexation
software-extract-/v1/tagger-oa	softwareTag	Indexation
irc3-species-/v1/irc3sp	speciesTag	Indexation
data-thesesul-/v1/sudoc	sudoc	Autres
data-workflow-/v1/tabbr-mine	TAM	Validation
data-workflow-/v1/tabbr-mine-pdf	TAM	Validation
tabbr-mine-/v1/mine	TAM	Validation
tabbr-mine-/v1/mine-pdf	TAM	Validation
data-graph-/v1/teeft-graph	Teeft	Indexation
data-workflow-/v1/teeft-en	Teeft	Indexation
data-workflow-/v1/teeft-fr	Teeft	Indexation
terms-extraction-/v1/teeft/en	Teeft	Indexation
terms-extraction-/v1/teeft/fr	Teeft	Indexation
terms-extraction-/v1/teeft/with-numbers/en	Teeft	Indexation
terms-extraction-/v1/teeft/with-numbers/fr	Teeft	Indexation
terms-extraction-/v2/teeft/en	Teeft	Indexation
terms-extraction-/v2/teeft/fr	Teeft	Indexation
data-termsuite-/v1/en	termSuite	Indexation
data-termsuite-/v1/en/minimal	termSuite	Indexation
data-termsuite-/v1/fr	termSuite	Indexation
data-termsuite-/v1/fr/minimal	termSuite	Indexation
text-clustering-/v1/clustering	textClustering	Classification
text-clustering-/v1/noise	textClustering	Classification
text-clustering-/v1/noise-lodex	textClustering	Classification
data-workflow-/v1/pdf-text	textExtract	Prétraitement
pdf-text-/v1/pdf2txt	textExtract	Prétraitement
pdf-text-/v1/pdf-raw	textExtract	Prétraitement
text-lucene-/v1/istex-search	textLucene	Autres
text-lucene-/v1/istexsearch-txt	textLucene	Autres
terms-extraction-/v1/tools/normalize	textNormalize	Prétraitement
data-computer-/v1/corpus-similarity	textSimilarity	Validation
data-workflow-/v1/text-summarize	textSummarize	Indexation
data-workflow-/v1/text-summarize-pdf	textSummarize	Indexation
text-summarize-/v1/en	textSummarize	Indexation
text-summarize-/v1/en-pdf	textSummarize	Indexation
text-summarize-/v1/multilingual	textSummarize	Indexation
data-topcitation-/v1/topcitation	topRefExtract	Validation
transli-tal-/v1/translit/cyr	TransliTAL	TAL
transli-tal-/v1/translit/hel/t1	TransliTAL	TAL
transli-tal-/v1/translit/hel/t2	TransliTAL	TAL

